hq,pricePerUnit,quantity,buyerName,onMannequin,timestamp,worldName,worldID
True,2000,33,Io'sefka Nan'vtolis,False,1705878415,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878414,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878413,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878412,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878411,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878410,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878409,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878408,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878407,Siren,57
True,2000,33,Io'sefka Nan'vtolis,False,1705878406,Siren,57
True,1777,10,Io'sefka Nan'vtolis,False,1705878403,Siren,57
True,1799,99,Io'sefka Nan'vtolis,False,1705878399,Siren,57
True,3946,9,Kiskili Tsuki,False,1705877153,Adamantoise,73
True,2499,51,X'lantaa Amih,False,1705796056,Gilgamesh,63
True,1995,30,Astrienne Trearelle,False,1705716165,Faerie,54
True,2425,9,Ograth Beornheim,False,1705700890,Gilgamesh,63
False,1000,52,Grief Dragonson,False,1705604272,Midgardsormr,65
False,1000,53,Grief Dragonson,False,1705604268,Midgardsormr,65
True,1995,42,Aymei Kita,False,1705471580,Faerie,54
True,4475,10,Nemaine Sylverstep,False,1705266390,Jenova,40
True,9999,35,Vitalia Reaperknight,False,1705221170,Cactuar,79
True,3999,20,Demon Smallz,False,1705200244,Adamantoise,73
True,2499,99,Eeveeh Tami,False,1705108419,Gilgamesh,63
True,1965,8,Kya Paozi,False,1705087370,Siren,57
True,3000,20,Hero Logarin,False,1704946015,Midgardsormr,65
True,1995,30,Bell Fleur,False,1704915967,Faerie,54
True,3999,7,Hana Hideyoshi,False,1704866968,Adamantoise,73
True,1895,9,Skadi Michail,False,1704853600,Siren,57
True,1000,10,Viktor Vulkan,False,1704742332,Midgardsormr,65
True,1000,10,Viktor Vulkan,False,1704742330,Midgardsormr,65
True,1000,10,Viktor Vulkan,False,1704742329,Midgardsormr,65
True,1000,10,Viktor Vulkan,False,1704742328,Midgardsormr,65
True,1000,10,Viktor Vulkan,False,1704742326,Midgardsormr,65
True,1000,10,Viktor Vulkan,False,1704742323,Midgardsormr,65
True,1000,10,Viktor Vulkan,False,1704742304,Midgardsormr,65
True,1199,27,Viktor Vulkan,False,1704742293,Midgardsormr,65
True,999,9,Viktor Vulkan,False,1704742289,Midgardsormr,65
True,1960,10,Agent Ratchet,False,1704708646,Siren,57
True,1000,10,Lord Momon,False,1704696757,Midgardsormr,65
True,1000,10,Opa Revontuli,False,1704463554,Midgardsormr,65
True,1000,10,Opa Revontuli,False,1704463552,Midgardsormr,65
True,999,3,Opa Revontuli,False,1704463550,Midgardsormr,65
True,999,10,Opa Revontuli,False,1704463548,Midgardsormr,65
True,999,10,Opa Revontuli,False,1704463547,Midgardsormr,65
True,999,10,Opa Revontuli,False,1704463545,Midgardsormr,65
True,1965,5,Tyonidus Flintlock,False,1704427307,Siren,57
True,998,3,Tori Talks,False,1704336254,Midgardsormr,65
True,900,20,Tori Talks,False,1704336252,Midgardsormr,65
True,900,20,Tori Talks,False,1704336251,Midgardsormr,65
True,1999,22,Majiq Wolvesbane,False,1704319475,Faerie,54
True,1990,10,Majiq Wolvesbane,False,1704319472,Faerie,54
True,1900,6,Sweet Prince,False,1704275229,Faerie,54
True,1969,99,Nivalia Paradis,False,1704255154,Siren,57
True,2000,54,Alex Gaming,False,1704104502,Gilgamesh,63
True,2000,99,Alex Gaming,False,1704104500,Gilgamesh,63
True,2000,30,Mizu Divaal,False,1703974755,Faerie,54
True,1400,21,Weiselia Phokoi,False,1703963844,Sargatanas,99
True,1998,33,Fio Mercurie,False,1703829573,Faerie,54
True,1905,2,Dovah Wolfsire,False,1703673758,Siren,57
True,1900,1,Dovah Wolfsire,False,1703673756,Siren,57
False,1000,29,Dovah Wolfsire,False,1703673754,Siren,57
True,3398,10,Mi Ra,False,1703633574,Midgardsormr,65
True,3398,10,Mi Ra,False,1703633572,Midgardsormr,65
True,1998,10,Shy Moonlight,False,1703621149,Faerie,54
True,8000,10,Sollidus Snake,False,1703570759,Jenova,40
True,20000,10,Sollidus Snake,False,1703570757,Jenova,40
True,20000,10,Sollidus Snake,False,1703570756,Jenova,40
True,20000,10,Sollidus Snake,False,1703570755,Jenova,40
True,20000,10,Sollidus Snake,False,1703570753,Jenova,40
True,20000,10,Sollidus Snake,False,1703570752,Jenova,40
