hq,pricePerUnit,quantity,buyerName,onMannequin,timestamp,worldName,worldID
True,4739,99,N'yx Sozeh,False,1686791044,Siren,57
True,3900,99,Lineup Andwait,False,1686790950,Midgardsormr,65
True,3245,25,Draco Ryuu,False,1686790933,Sargatanas,99
True,3245,25,Draco Ryuu,False,1686790931,Sargatanas,99
True,3245,25,Draco Ryuu,False,1686790929,Sargatanas,99
True,3245,99,Draco Ryuu,False,1686790917,Sargatanas,99
True,3245,99,Draco Ryuu,False,1686790915,Sargatanas,99
True,3960,30,C'tadhara Shiva,False,1686790823,Midgardsormr,65
True,3292,99,Claire Ilenna,False,1686790763,Gilgamesh,63
True,3930,60,Valkor Zetsway,False,1686790760,Midgardsormr,65
True,3245,99,Ismene Ilios,False,1686790754,Sargatanas,99
True,3245,99,Ismene Ilios,False,1686790748,Sargatanas,99
True,3960,30,Churu Here,False,1686790689,Midgardsormr,65
True,3960,30,Jeeane Duskiller,False,1686790614,Midgardsormr,65
True,3245,99,Robin Alpha,False,1686790498,Sargatanas,99
True,3347,99,Fayth Delarosa,False,1686790379,Adamantoise,73
True,3979,40,Clammi Pantcevic,False,1686790257,Faerie,54
True,3347,99,Monday Hemari,False,1686790032,Adamantoise,73
True,3685,35,Eris Valen,False,1686789880,Cactuar,79
True,3292,99,Salty Boba,False,1686789759,Gilgamesh,63
True,3680,58,Calista Serafina,False,1686789508,Cactuar,79
True,3296,25,Yuu Chan,False,1686789321,Jenova,40
True,3296,99,Frost' Er,False,1686789303,Jenova,40
True,3988,30,Taleth Kokolan,False,1686789212,Midgardsormr,65
True,3969,33,Hideki Kojima,False,1686788923,Midgardsormr,65
True,3297,99,Shozo Kumori,False,1686788797,Jenova,40
True,3298,25,Irisviel Izanami,False,1686788738,Jenova,40
True,3298,99,Aikido S'enbazuru,False,1686788610,Jenova,40
True,3293,99,Ira Warsong,False,1686788578,Gilgamesh,63
True,3293,99,Ira Warsong,False,1686788577,Gilgamesh,63
True,3293,99,Ira Warsong,False,1686788575,Gilgamesh,63
True,4720,50,Bobby Proc,False,1686788025,Siren,57
True,3247,50,Hoxy Hoxy,False,1686787549,Sargatanas,99
True,3247,50,Hoxy Hoxy,False,1686787545,Sargatanas,99
True,3247,99,Hoxy Hoxy,False,1686787544,Sargatanas,99
True,3689,99,Apple Pineapple,False,1686787495,Cactuar,79
True,4693,99,Juovitus Onishi,False,1686787490,Siren,57
True,3689,55,Grimsong Wolfsbane,False,1686787426,Cactuar,79
True,3246,99,Angelic Heresy,False,1686787425,Sargatanas,99
True,3989,50,Rereno Namo,False,1686787381,Midgardsormr,65
True,4695,50,Sephira Aera,False,1686787381,Siren,57
True,3294,99,Confused Banana,False,1686787339,Gilgamesh,63
True,3865,30,Shin Owo,False,1686787339,Faerie,54
True,3571,30,B'ro Fish,False,1686787324,Jenova,40
True,3571,30,B'ro Fish,False,1686787323,Jenova,40
True,4695,50,Destiiny's Chiild,False,1686787242,Siren,57
True,3200,99,Karna Ferrous,False,1686787203,Gilgamesh,63
True,3200,99,Karna Ferrous,False,1686787201,Gilgamesh,63
True,4693,99,Ulliad Sparton,False,1686787176,Siren,57
True,3246,99,Mina Nargai,False,1686787021,Sargatanas,99
True,3989,99,Z'ann Toma,False,1686786992,Midgardsormr,65
True,3989,99,Maverick Executioner,False,1686786938,Midgardsormr,65
True,3989,99,Maverick Executioner,False,1686786934,Midgardsormr,65
True,3246,99,Jules Felshauld,False,1686786741,Sargatanas,99
True,4877,30,Wind-up Elain,False,1686786646,Siren,57
True,3866,99,Reyha Jinh,False,1686786612,Faerie,54
True,3865,99,Reyha Jinh,False,1686786581,Faerie,54
True,3200,99,Serenity May,False,1686786511,Gilgamesh,63
True,3294,99,Leon Kuwata,False,1686786470,Gilgamesh,63
True,3294,99,Leon Kuwata,False,1686786467,Gilgamesh,63
True,4700,25,Gucci Fryingpan,False,1686786447,Siren,57
True,3867,40,Zeyles Khione,False,1686786435,Faerie,54
True,4695,50,Gucci Fryingpan,False,1686786347,Siren,57
True,3295,99,Kozhark Vurth,False,1686786089,Gilgamesh,63
True,3295,25,Jueise Nibuu,False,1686785787,Gilgamesh,63
True,3350,33,Debbie Harry,False,1686785542,Adamantoise,73
True,4695,50,December Sky,False,1686785371,Siren,57
True,3865,99,Xiri Saffa,False,1686785217,Faerie,54
True,3699,30,Just Josh,False,1686784884,Cactuar,79
True,3247,33,Antsy Entity,False,1686784829,Sargatanas,99
True,3245,99,Kysoulau Astaseul,False,1686784675,Sargatanas,99
True,3299,99,Meridian Dance,False,1686784415,Jenova,40
True,3697,25,Leshy Magnificus,False,1686784289,Cactuar,79
True,3348,30,Mariska Neko,False,1686784117,Adamantoise,73
True,3979,40,Eury Sama,False,1686784035,Faerie,54
True,3979,99,Alyx Clu,False,1686784006,Faerie,54
True,3231,43,Peko Neko,False,1686783639,Jenova,40
True,2999,30,Sheepy Turbo,False,1686783591,Jenova,40
True,3696,25,Louise Lamont,False,1686783096,Cactuar,79
True,3296,99,Frozen Waffles,False,1686782912,Gilgamesh,63
True,3988,30,Tetsuya Gomez,False,1686782840,Midgardsormr,65
True,3988,30,Tetsuya Gomez,False,1686782837,Midgardsormr,65
True,3987,90,Tetsuya Gomez,False,1686782835,Midgardsormr,65
True,3296,25,Inflames Insanity,False,1686782633,Gilgamesh,63
True,3296,25,Inflames Insanity,False,1686782632,Gilgamesh,63
True,3296,99,Neferpitou Grrr,False,1686782208,Gilgamesh,63
True,3393,99,Lodencilly Rui,False,1686782205,Adamantoise,73
True,3879,60,R'hyuji Tia,False,1686781569,Faerie,54
True,3296,99,Ungas Bungas,False,1686781010,Gilgamesh,63
True,3298,25,Ophelia Quinsley,False,1686780436,Gilgamesh,63
True,2799,30,Halo Nya,False,1686780209,Jenova,40
True,2799,30,Halo Nya,False,1686780207,Jenova,40
True,2799,30,Halo Nya,False,1686780206,Jenova,40
True,4700,25,Itseotle Irracido,False,1686780075,Siren,57
True,2999,99,Minako Kae,False,1686779618,Jenova,40
True,3247,50,Tsubaki Nanami,False,1686779615,Sargatanas,99
True,3247,50,Tsubaki Nanami,False,1686779614,Sargatanas,99
True,3879,60,Temono Kelumono,False,1686779419,Faerie,54
True,3690,99,Beltizar Wizarin,False,1686779385,Cactuar,79
